identifiers: ID,identifiers: URI (JONAS),identifiers: URI (Mirabile),identifiers: URI (Pinakes),identifiers: URI (VIAF),identifiers: other ref(s),identifiers: other URI(s),title: uniform,title: variant,title: ms,title: normalised,author: name,author: ID,author: affiliation,translator: name,translator: ID,translator: affiliation,language: text lang(s),language: main,language: other,incipit: incipit,subjects: list,subjects: URI(s),subjects: theology,subjects: documents,subjects: bible,subjects: literature,subjects: science,subjects: liturgy,subjects: history,subjects: law,subjects: philosophy,subjects: hagiography,subjects: medicine,subjects: christian literature,subjects: sermons,subjects: classical literature,subjects: monasticism and religious orders,subjects: grammar,subjects: clergy,subjects: rhetoric,subjects: geography,subjects: natural history,subjects: politics and government,subjects: music,subjects: indexes,subjects: conduct,subjects: heraldry,subjects: magic,subjects: bibliography,subjects: recreation,bibliography: repertory/ies,bibliography: repertory URI(s),bibliography: edition(s),bibliography: edition URI(s),bibliography: other bibl(s),bibliography: note(s)
work_739,,,,,,,"Augustine, Saint, Bishop of Hippo: Contra academicos [Latin]",contra achademicos,,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 253,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=253,"CCSL 29 (1970), pp. 1–61",,,
work_740,,,,,,,"Augustine, Saint, Bishop of Hippo: Contra duas epistolas pelagianorum [Latin]",,contra duas epistolas pelagianorum; contra duas epistulas pelagianorum,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 346,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=346,,,,
work_741,,,,,,,"Augustine, Saint, Bishop of Hippo: Contra epistulam Parmeniani [Latin]",contra epistolam parmeniani,,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 331,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=331,"CSEL 51 (1908), pp. 17–141",,,
work_742,,,,,,,"Augustine, Saint, Bishop of Hippo: Contra Faustum manichaeum [Latin]",,contra faustum manichaeum,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 321,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=321,"PL 42. 207–518; ed. J. Zycha, CSEL 25/1 (1891)",,,
work_743,,http://www.mirabileweb.it/title/contra-iulianum-augustinus-aurelius-title/16464,,,,,"Augustine, Saint, Bishop of Hippo: Contra Iulianum [Latin]",contra julianum,,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 351,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=351,CSEL 85,,,
work_744,,,,,,,"Augustine, Saint, Bishop of Hippo: Contra Maximinum [Latin]",,contra maximinum,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_745,,http://www.mirabileweb.it/title/contra-mendacium-augustinus-aurelius-title/16456,,,,,"Augustine, Saint, Bishop of Hippo: Contra mendacium [Latin]",,contra mendacium,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 304,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=304,"CSEL 41 (1900), pp. 467–528",,,
work_746,,,,,,,"Augustine, Saint, Bishop of Hippo: Contra Parmenianum [Latin]",,contra parmenianum,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_747,,,,,,,"Augustine, Saint, Bishop of Hippo: De agone christiano [Latin]",,de agone christiano,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 296,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=296,"CSEL 41 (1900), pp. 99–138",,,
work_748,,,,,,,"Augustine, Saint, Bishop of Hippo: De baptismo contra Donatistas [Latin]",,de baptismo contra donatistas,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 332,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=332,"CSEL 51 (1908), pp. 143–375",,,
