metadata: origin UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: origin,overview: additions,locus: locus,locus: from,locus: to,orig date: date,orig date: when,orig date: not before,orig date: not after,orig date: certainty,orig date: calendar,orig place: place,orig place: country,orig place: country ID,orig place: country lat,orig place: country long,orig place: region,orig place: region ID,orig place: region lat,orig place: region long,orig place: settlement,orig place: settlement ID,orig place: settlement lat,orig place: settlement long,orig org: org,orig org: org ID,orig org: org lat,orig org: org long,add date: date,add date: when,add date: not before,add date: not after,add date: certainty,add date: calendar,add place: place,add place: country,add place: country ID,add place: country lat,add place: country long,add place: region,add place: region ID,add place: region lat,add place: region long,add place: settlement,add place: settlement ID,add place: settlement lat,add place: settlement long,add org: org,add org: org ID,add org: org lat,add org: org long,bibliography: bibl(s),bibliography: ref(s),bibliography: ref ID(s),bibliography: note(s)
MS_Laud_Misc_133_origin_4,manuscript_6943,Laud_Misc,MS_Laud_Misc_133,MS. Laud Misc. 133,part,"MS. Laud Misc. 133, fols. 144–157",MS_Laud_Misc_133-part3,891–893 Lorsch Abbey,,,,,891–893,,891,893,,Gregorian,Lorsch Abbey,,,,,,,,,,,,,Lorsch Abbey,org_143763943,49.65364153,8.569858137,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_134_origin_1,manuscript_6944,Laud_Misc,MS_Laud_Misc_134,MS. Laud Misc. 134,manuscript-composite,,MS_Laud_Misc_134,"9th century, second quarter Germany, Niederaltaich, Benedictine abbey (?)",,,,,"9th century, second quarter",,825,850,,Gregorian,"Germany, Niederaltaich, Benedictine abbey (?)",Germany,place_7000084,51.5,10.5,,,,,Niederaltaich,place_7125218,48.766667,13.033333,Benedictine abbey,org_127140314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_134_origin_2,manuscript_6944,Laud_Misc,MS_Laud_Misc_134,MS. Laud Misc. 134,part,,MS_Laud_Misc_134-part1,"9th century, second quarter Germany, Niederaltaich, Benedictine abbey (?)",,,,,"9th century, second quarter",,825,850,,Gregorian,"Germany, Niederaltaich, Benedictine abbey (?)",Germany,place_7000084,51.5,10.5,,,,,Niederaltaich,place_7125218,48.766667,13.033333,Benedictine abbey,org_127140314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_134_origin_3,manuscript_6944,Laud_Misc,MS_Laud_Misc_134,MS. Laud Misc. 134,part,,MS_Laud_Misc_134-part2,"9th century, second quarter Germany, Niederaltaich, Benedictine abbey (?)",,,,,"9th century, second quarter",,825,850,,Gregorian,"Germany, Niederaltaich, Benedictine abbey (?)",Germany,place_7000084,51.5,10.5,,,,,Niederaltaich,place_7125218,48.766667,13.033333,Benedictine abbey,org_127140314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_135_origin_1,manuscript_6945,Laud_Misc,MS_Laud_Misc_135,MS. Laud Misc. 135,manuscript,,MS_Laud_Misc_135,"Germany, Würzburg, St. Kilian, or Niederaltaich, Benedictine abbey c. 825–55",,,,,c. 825–55,,825,855,high,Gregorian,"Germany, Würzburg, St. Kilian, or Niederaltaich, Benedictine abbey",Germany,place_7000084,51.5,10.5,,,,,Würzburg; Niederaltaich,place_7004335 place_7125218,49.787778 48.766667,9.936111 13.033333,St. Kilian; Benedictine abbey,org_148998848 org_127140314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_136_origin_1,manuscript_6946,Laud_Misc,MS_Laud_Misc_136,MS. Laud Misc. 136,manuscript,,MS_Laud_Misc_136,"c. 1400 German, Eberbach, Cistercian abbey",,,,,c. 1400,,1390,1410,,Gregorian,"German, Eberbach, Cistercian abbey",German,place_7000084,51.5,10.5,,,,,,,,,"Eberbach, Cistercian abbey",org_133214228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_137_origin_1,manuscript_6947,Laud_Misc,MS_Laud_Misc_137,MS. Laud Misc. 137,manuscript,,MS_Laud_Misc_137,"c. 1400 German, Eberbach, Cistercian abbey",,,,,c. 1400,,1390,1410,,Gregorian,"German, Eberbach, Cistercian abbey",German,place_7000084,51.5,10.5,,,,,,,,,"Eberbach, Cistercian abbey",org_133214228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_138_origin_1,manuscript_6948,Laud_Misc,MS_Laud_Misc_138,MS. Laud Misc. 138,manuscript,,MS_Laud_Misc_138,"13th century, middle English",,,,,"13th century,
                        middle",,1240,1260,,Gregorian,English,English,place_7002445,53.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_139_origin_1,manuscript_6949,Laud_Misc,MS_Laud_Misc_139,MS. Laud Misc. 139,manuscript,,MS_Laud_Misc_139,"c. 825–50 German, Niederaltaich, Benedictine abbey (?), and Würzburg, St. Kylian",,,,,c. 825–50,,825,850,,Gregorian,"German, Niederaltaich, Benedictine abbey (?), and Würzburg, St. Kylian",German,place_7000084,51.5,10.5,,,,,Niederaltaich; Würzburg,place_7125218 place_7004335,48.766667 49.787778,13.033333 9.936111,Benedictine abbey; St. Kylian,org_127140314 org_148998848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_140_origin_1,manuscript_6950,Laud_Misc,MS_Laud_Misc_140,MS. Laud Misc. 140,manuscript,,MS_Laud_Misc_140,"12th century, first half English",,,,,"12th century, first half",,1100,1150,,Gregorian,English,English,place_7002445,53.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
