metadata: record UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,metadata: crArk,metadata: ieArk,metadata: SCN,metadata: TM,metadata: PR,metadata: diktyon,record: history,record: source,record: most recent change,record: quarto cat,record: summary,record: updated,publisher: institution,publisher: unit,publisher: department,location: settlement,location: institution,location: repository,availability: availability statement,surrogates: full digital facsimile(s),surrogates: full digital facsimile URI(s),surrogates: full iiif manifest,surrogates: partial digital facsimile(s),surrogates: partial digital facsimile URI(s),surrogates: partial iiif manifest,printed resources: bibliography,printed resources: URI(s),printed resources: ID(s),online resources: JONAS URI,online resources: bibliography,online resources: URI(s)
MS_Add_A_188_record_1,manuscript_34,Add_A,MS_Add_A_188,MS. Add. A. 188,manuscript-with-fragment,"MS. Add. A. 188 – lifted pastedowns (fols. i, 168)",MS_Add_A_188,ark:29072/x0x633f039tz,ark:29072/x0x920fw234s,29157.0,,,,"Description by Peter Kidd (June 2021). For previous descriptions see Bibliography, below.",,2021-07-19,False,False,,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,True,https://digital.bodleian.ox.ac.uk/objects/bc8a24da-0731-4f97-bf4d-c8be209b11dd/,https://iiif.bodleian.ox.ac.uk/iiif/manifest/bc8a24da-0731-4f97-bf4d-c8be209b11dd.json,True,https://digital.bodleian.ox.ac.uk/objects/2c34aeef-72ae-4a29-9f29-13d438c623f7/,https://iiif.bodleian.ox.ac.uk/iiif/manifest/2c34aeef-72ae-4a29-9f29-13d438c623f7.json,"Otto Pächt and J. J. G. Alexander, Illuminated Manuscripts in the Bodleian Library, Oxford, II (1970), no. 122 (open access at HathiTrust Digital Library); Otto Pächt and J. J. G. Alexander, Illuminated Manuscripts in the Bodleian Library, Oxford, I (1966), no. 55 (open access at HathiTrust Digital Library); S. J. P. Van Dijk, Handlist of the Latin Liturgical Manuscripts in the Bodleian Library Oxford : Vol. 1: Mass Books (typescript, 1957); A summary catalogue of Western manuscripts in the Bodleian Library at Oxford V (1905) 572 (open access at HathiTrust Digital Library)",https://hdl.handle.net/2027/uc1.32106006446402?urlappend=%3Bseq=31 https://hdl.handle.net/2027/uc1.32106006446410?urlappend=%3Bseq=27 https://hdl.handle.net/2027/mdp.39015010314634?urlappend=%3Bseq=614,,,Manuscripts from German-Speaking Lands – A Polonsky Foundation Digitization Project,https://hab.bodleian.ox.ac.uk/en/
MS_Add_A_189_record_1,manuscript_35,Add_A,MS_Add_A_189,MS. Add. A. 189,manuscript,,MS_Add_A_189,ark:29072/x0xd07gs06fj,ark:29072/x0ww72b927sg,29158.0,,,,"Adapted (2017) from A. G. Watson, Catalogue of Dated and Datable Manuscripts, Pächt and Alexander, and the Summary Catalogue (1905); additional description of decoration by Elizabeth Solopova, c. 2000. Summary Catalogue, Vol. 5, p. 573","Summary Catalogue, Vol. 5, p. 573",2017-07-01,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,True,https://digital.bodleian.ox.ac.uk/objects/a640cdb1-113b-403a-8589-4911106e8928/,https://iiif.bodleian.ox.ac.uk/iiif/manifest/a640cdb1-113b-403a-8589-4911106e8928.json,"A. G. Watson, Catalogue of Dated and Datable Manuscripts c.435–1600 in Oxford Libraries (Oxford, 1984), no. 11; Otto Pächt and J. J. G. Alexander, Illuminated Manuscripts in the Bodleian Library, Oxford, II (1970), no. 1018",,,,,
MS_Add_A_196_record_1,manuscript_36,Add_A,MS_Add_A_196,MS. Add. A. 196,manuscript-composite,,MS_Add_A_196,ark:29072/x0xg94hn89rt,ark:29072/x0dr26xx14gr,29134.0,,,,"Description adapted (July 2025) by Stewart J. Brookes from the Summary Catalogue (1905). Decoration, localization and date follow Pächt and Alexander (1973) Summary Catalogue, Vol. 5, p. 566","Summary Catalogue, Vol. 5, p. 566",2025-07-21,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_197_record_1,manuscript_37,Add_A,MS_Add_A_197,MS. Add. A. 197,manuscript,,MS_Add_A_197,ark:29072/x0xk81jj732w,ark:29072/x0xp68kf56cn,29175.0,,,,"Adapted (2017) from A. G. Watson, Catalogue of Dated and Datable Manuscripts; S. J. P. Van Dijk, Handlist of the Latin Liturgical Manuscripts in the Bodleian Library Oxford : Vol. 3: Rituals and Directories (typescript, 1957); and the Summary Catalogue (1905). Summary Catalogue, Vol. 5, p. 576","Summary Catalogue, Vol. 5, p. 576",2017-07-01,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,"A. G. Watson, Catalogue of Dated and Datable Manuscripts c.435–1600 in Oxford Libraries (Oxford, 1984), no. 12; S. J. P. van Dijk, Latin Liturgical Manuscripts in the Bodleian Library, Oxford, vol. 3: Rituals and Directories (typescript, 1957), p. 241 ; S. J. P. van Dijk, Latin Liturgical Manuscripts in the Bodleian Library, Oxford, vol. 5: Fragments - Mass Books (typescript, 1957), p. 251",,,,,
MS_Add_A_198_record_1,manuscript_38,Add_A,MS_Add_A_198,MS. Add. A. 198,manuscript-composite,MS. Add. A. 198 – Part 1 MS. Add. A. 198 – Part 2,MS_Add_A_198,ark:29072/x0xs55mb39ph,ark:29072/x0xw42n7230k,29176.0,,,,"Summary description by Elizabeth Solopova and Matthew Holford based on the Summary Catalogue and supplementary sources. Summary Catalogue, Vol. 5, p. 577","Summary Catalogue, Vol. 5, p. 577",2017-07-01,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_208_record_1,manuscript_41,Add_A,MS_Add_A_208,MS. Add. A. 208,manuscript,,MS_Add_A_208,ark:29072/x0z890rs567d,ark:29072/x0zc77sp39j5,29224.0,,,,"Description adapted (July 2025) by Stewart J. Brookes from the Summary Catalogue (1905) Summary Catalogue, Vol. 5, p. 589 Summary Catalogue, Vol. 5, p. 590","Summary Catalogue, Vol. 5, p. 589; Summary Catalogue, Vol. 5, p. 590",2025-07-25,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_228_record_1,manuscript_43,Add_A,MS_Add_A_228,MS. Add. A. 228,manuscript,,MS_Add_A_228,ark:29072/x0zp38wb89gp,ark:29072/x0zs25x772sd,30198.0,,,,"Description adapted (July 2025) by Stewart J. Brookes from the Summary Catalogue (1905). Decoration, localization and date follow Pächt and Alexander (1970) Summary Catalogue, Vol. 5, p. 756 Summary Catalogue, Vol. 5, p. 757","Summary Catalogue, Vol. 5, p. 756; Summary Catalogue, Vol. 5, p. 757",2025-07-21,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_263_record_1,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,manuscript-composite,MS. Add. A. 263 – Part A (fols. 1–48) MS. Add. A. 263 – Part B (fols. 49–64),MS_Add_A_263,ark:29072/x008612p79fg,ark:29072/x00c483k62r3,29383.0,,,,"Description (June 2021) by Peter Kidd, edited by Matthew Holford. Previously described in the Summary Catalogue. Summary Catalogue, Vol. 5, p. 609","Summary Catalogue, Vol. 5, p. 609",2021-06-07,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,True,https://digital.bodleian.ox.ac.uk/objects/50370974-dffd-478a-bd86-30e9ff74995c/,https://iiif.bodleian.ox.ac.uk/iiif/manifest/50370974-dffd-478a-bd86-30e9ff74995c.json,False,,,"S. J. P. van Dijk, Latin Liturgical Manuscripts in the Bodleian Library, Oxford, vol. 2: Office Books (typescript, 1957), p. 349",,,,Manuscripts from German-Speaking Lands – A Polonsky Foundation Digitization Project,https://hab.bodleian.ox.ac.uk/en/
MS_Add_A_268_record_1,manuscript_48,Add_A,MS_Add_A_268,MS. Add. A. 268,manuscript-composite,MS. Add. A. 268 - part A MS. Add. A. 268 - part B MS. Add. A. 268 - part C MS. Add. A. 268 - binding fragments (fols. 154-160),MS_Add_A_268,ark:29072/x00g354g4629,ark:29072/x00k225c29c5,29387.0,,,,"Description adapted (May 2022) from the Summary Catalogue (1905) with reference to other published literature as cited. Summary Catalogue, Vol. 5, p. 610 Summary Catalogue, Vol. 5, p. 611","Summary Catalogue, Vol. 5, p. 610; Summary Catalogue, Vol. 5, p. 611",2022-05-20,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,Digital Index of Middle English Verse,https://www.dimev.net/Records.php?MSS=BodAddA268
MS_Add_A_279_record_1,manuscript_50,Add_A,MS_Add_A_279,MS. Add. A. 279,manuscript,,MS_Add_A_279,ark:29072/x00v83817998,ark:29072/x00z708x62mr,29396.0,,,,"Description adapted (May 2025) by Stewart J. Brookes from the Summary Catalogue (1905) Summary Catalogue, Vol. 5, p. 613","Summary Catalogue, Vol. 5, p. 613",2025-05-29,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_280_record_1,manuscript_51,Add_A,MS_Add_A_280,MS. Add. A. 280,manuscript,,MS_Add_A_280,ark:29072/x012579t45xm,ark:29072/x01544bq297t,29397.0,,,,"Description (May 2021) by Peter Kidd, edited by Matthew Holford. Previously described in the Summary Catalogue (1905) Summary Catalogue, Vol. 5, p. 613 Summary Catalogue, Vol. 5, p. 614","Summary Catalogue, Vol. 5, p. 613; Summary Catalogue, Vol. 5, p. 614",2021-05-17,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,True,https://digital.bodleian.ox.ac.uk/objects/241ddd67-d9f7-42ea-ad0d-e5818b905106/,https://iiif.bodleian.ox.ac.uk/iiif/manifest/241ddd67-d9f7-42ea-ad0d-e5818b905106.json,False,,,"A. G. Watson, Catalogue of Dated and Datable Manuscripts c.435–1600 in Oxford Libraries (Oxford, 1984), no. 13",,,,Manuscripts from German-Speaking Lands – A Polonsky Foundation Digitization Project,https://hab.bodleian.ox.ac.uk/en/
MS_Add_A_282_record_1,manuscript_52,Add_A,MS_Add_A_282,MS. Add. A. 282,manuscript,,MS_Add_A_282,ark:29072/x01831cm12jj,ark:29072/x01c18dg95v4,29399.0,,,,"Description adapted (July 2025) by Stewart J. Brookes from the Summary Catalogue (1905). Decoration, localization and date follow Pächt and Alexander (1970) Summary Catalogue, Vol. 5, p. 614","Summary Catalogue, Vol. 5, p. 614",2025-07-21,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,True,https://digital.bodleian.ox.ac.uk/objects/aaa742ef-c1ee-4044-9239-c5461462598a/,https://iiif.bodleian.ox.ac.uk/iiif/manifest/aaa742ef-c1ee-4044-9239-c5461462598a.json,,,,,,
MS_Add_A_283_record_1,manuscript_53,Add_A,MS_Add_A_283,MS. Add. A. 283,manuscript,,MS_Add_A_283,ark:29072/x01g05fc795b,ark:29072/x0ft848q30xp,29400.0,,,,"Description adapted (July 2025) by Stewart J. Brookes from the Summary Catalogue (1905). Extent, leaf dimensions and layout from van Dijk (1957) Summary Catalogue, Vol. 5, p. 614","Summary Catalogue, Vol. 5, p. 614",2025-07-22,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,"S. J. P. van Dijk, Latin Liturgical Manuscripts in the Bodleian Library, Oxford, vol. 2: Office Books (typescript, 1957), p. 205",,,,,
MS_Add_A_286_record_1,manuscript_54,Add_A,MS_Add_A_286,MS. Add. A. 286,manuscript,,MS_Add_A_286,ark:29072/x01j92g862gn,ark:29072/x01n79h545sd,29403.0,,,,"Description by Peter Kidd (April 2021). Previously described in the Summary Catalogue. Summary Catalogue, Vol. 5, p. 615 Summary Catalogue, Vol. 5, p. 616","Summary Catalogue, Vol. 5, p. 615; Summary Catalogue, Vol. 5, p. 616",2021-04-21,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,True,https://digital.bodleian.ox.ac.uk/objects/ca575b02-f27e-44b3-b1cf-7230621dbc99/,https://iiif.bodleian.ox.ac.uk/iiif/manifest/ca575b02-f27e-44b3-b1cf-7230621dbc99.json,False,,,,,,,Manuscripts from German-Speaking Lands – A Polonsky Foundation Digitization Project; DIAMM: Digital Image Archive of Medieval Music,https://hab.bodleian.ox.ac.uk/en/ https://www.diamm.ac.uk/sources/483/
